strain	replicate	temp	mumax	r2
150	BRX10.3	OD6	11	0.0272691547521415	0.995446032200571
151	BRX10.3	OD7	11	0.0279229483469287	0.995249859619502
152	BRX10.3	OD8	11	0.0271375220418567	0.995691593176696
153	BRX10.3	OD1	17	0.0248710666672581	0.915716421447892
154	BRX10.3	OD2	17	0.030781965196554	0.996396399351336
155	BRX10.3	OD3	17	0.0282467148816108	0.997639630226204
156	BRX10.3	OD4	17	0.0281900284389129	0.997499135444698
157	BRX10.3	OD5	17	0.0392828122547783	0.996632407688656
158	BRX10.3	OD6	17	0.0292184550322834	0.994815639705206
159	BRX10.3	OD7	17	0.0294027409711401	0.995073008639863
160	BRX10.3	OD8	17	0.0278906835946428	0.994044704693073
161	BRX10.4	OD1	-1	0.0337920296588179	0.981887166937461
162	BRX10.4	OD2	-1	0.0424912751865428	0.979142856382361
163	BRX10.4	OD3	-1	0.0328717455805924	0.982837986363888
164	BRX10.4	OD4	-1	0.0234778248126762	0.981944372708113
165	BRX10.4	OD5	-1	0.0221908016305367	0.955764787611102
166	BRX10.4	OD6	-1	0.0250303504819872	0.961935837718062
167	BRX10.4	OD7	-1	0.0238901835459346	0.973894757839653
168	BRX10.4	OD8	-1	0.0268114971765742	0.987486653935415
169	BRX10.4	OD1	4	0.0498510974678685	0.985480451116996
170	BRX10.4	OD2	4	0.0365498893607645	0.980238192512851
171	BRX10.4	OD3	4	0.0314633701722224	0.972475694947678
172	BRX10.4	OD4	4	0.0312912710086308	0.987477415600819
173	BRX10.4	OD5	4	0.0310839569043617	0.97254155583502
174	BRX10.4	OD6	4	0.0292116895182286	0.934709232476774
175	BRX10.4	OD7	4	0.0350987948546219	0.963319071324948
176	BRX10.4	OD8	4	0.044032891775319	0.988596985540846
177	BRX10.4	OD1	11	0.0424744255332124	0.921777835397925
178	BRX10.4	OD2	11	0.0423736974559895	0.929990554536676
179	BRX10.4	OD3	11	0.0339643315341821	0.710213677876724
180	BRX10.4	OD4	11	0.0299282423478368	0.770553996787953
181	BRX10.4	OD5	11	0.027953190809938	0.798169978605974
182	BRX10.4	OD6	11	0.0352317760217445	0.822458866775407
183	BRX10.4	OD7	11	0.0402072805669924	0.916930915861554
184	BRX10.4	OD8	11	0.057202630697163	0.995007001437903
185	BRX10.4	OD1	17	0.00415537315700335	0.633166495481896
186	BRX10.4	OD2	17	0.00671154498362116	0.894553014883676
187	BRX10.4	OD3	17	0.00361718171332514	0.994629984699331
188	BRX10.4	OD4	17	0.00823741528953546	0.833868659903724
189	BRX10.4	OD5	17	0.00610994968774799	0.531425757993353
190	BRX10.4	OD6	17	0.00582862328316351	0.878780453194297
191	BRX10.4	OD7	17	0.00215974710914404	0.92858029359554
192	BRX10.4	OD8	17	0.00820700260762227	0.628371184450613
193	BRX10.5	OD1	-1	0.0435836663933928	0.984856080344317
194	BRX10.5	OD2	-1	0.0325534837361652	0.993077685230064
195	BRX10.5	OD3	-1	0.0334115268024814	0.987094751218574
196	BRX10.5	OD4	-1	0.0335899893272092	0.987630823132803
197	BRX10.5	OD5	-1	0.0279582693601458	0.987471749012914
198	BRX10.5	OD6	-1	0.0315104194578617	0.979116776388136
199	BRX10.5	OD7	-1	0.0324947435632393	0.98377956364353
200	BRX10.5	OD8	-1	0.0430414668393363	0.994338798593465
201	BRX10.5	OD1	4	0.044990347447449	0.945673422587428
202	BRX10.5	OD2	4	0.0399778588872522	0.953985077528466
203	BRX10.5	OD3	4	0.0407035244347223	0.963326570322528
204	BRX10.5	OD4	4	0.0350412088474134	0.957055716303958
205	BRX10.5	OD5	4	0.0370659216500759	0.950591612250174
206	BRX10.5	OD6	4	0.0357937201066338	0.955751771989322
207	BRX10.5	OD7	4	0.035238232972603	0.973426050099134
208	BRX10.5	OD8	4	0.0318003631749555	0.957037418865754
209	BRX10.5	OD1	11	0.0479235263842366	0.985540760330763
210	BRX10.5	OD2	11	0.050303869265749	0.984022008942747
211	BRX10.5	OD3	11	0.0428328704498739	0.909341083695919
212	BRX10.5	OD4	11	0.0456811951675588	0.907556871717909
213	BRX10.5	OD5	11	0.0453099056612064	0.903327305442107
214	BRX10.5	OD6	11	0.0435882875689545	0.920723811731766
215	BRX10.5	OD7	11	0.045292992601192	0.988198525491867
216	BRX10.5	OD8	11	0.0501248688680856	0.989047051198475
217	BRX10.5	OD1	17	0.0285732493630394	0.994431771456796
218	BRX10.5	OD2	17	0.0292999549416924	0.996343880880034
219	BRX10.5	OD3	17	0.0282590295288671	0.996310822165207
220	BRX10.5	OD4	17	0.0308672017830458	0.997197214139255
221	BRX10.5	OD5	17	0.0304891922886356	0.996446518204529
222	BRX10.5	OD6	17	0.0323113149858132	0.996385629042487
223	BRX10.5	OD7	17	0.0331547770353369	0.996877112437454
224	BRX10.5	OD8	17	0.0300147629751085	0.995479104777295
225	BRX10.6	OD1	-1	0.0513348099015433	0.99651011119363
226	BRX10.6	OD2	-1	0.0512062918113717	0.992449888128906
227	BRX10.6	OD3	-1	0.0484434665503618	0.972650980582352
228	BRX10.6	OD4	-1	0.0370979518988087	0.97941988741561
229	BRX10.6	OD5	-1	0.0404118094035244	0.986617502307336
230	BRX10.6	OD6	-1	0.0421167739762665	0.979765436769868
231	BRX10.6	OD7	-1	0.0397359815899226	0.975960823921166
232	BRX10.6	OD8	-1	0.0402527375568699	0.988597322288014
233	BRX10.6	OD1	4	0.0486517559336531	0.979913999980349
234	BRX10.6	OD2	4	0.0487899667073981	0.98725252683506
235	BRX10.6	OD3	4	0.0449569845601735	0.987867199687584
236	BRX10.6	OD4	4	0.037896539639164	0.987262618436224
237	BRX10.6	OD5	4	0.0378419210491491	0.970652192017635
238	BRX10.6	OD6	4	0.044653642484699	0.98987227725085
239	BRX10.6	OD7	4	0.0492076356644846	0.983966071304121
240	BRX10.6	OD8	4	0.0470116211752634	0.978708433549074
241	BRX10.6	OD1	11	0.0617052108634052	0.952155162933695
242	BRX10.6	OD2	11	0.0628267585591417	0.927193459991756
243	BRX10.6	OD3	11	0.0486678170547403	0.785241706933782
244	BRX10.6	OD4	11	0.0428596739039757	0.747645904502123
245	BRX10.6	OD5	11	0.0413586998134008	0.875472721153018
246	BRX10.6	OD6	11	0.0392833682333226	0.804259069234207
247	BRX10.6	OD7	11	0.0598892579528519	0.969734704337797
248	BRX10.6	OD8	11	0.0537703508106711	0.98147917586157
249	BRX10.6	OD1	17	0.0255837412663864	0.995363315973335
250	BRX10.6	OD2	17	0.0325870700009278	0.995883990565316
251	BRX10.6	OD3	17	0.0363696471028334	0.994659266131961
252	BRX10.6	OD4	17	0.0369597477144087	0.993819828826337
253	BRX10.6	OD5	17	0.0383272333221925	0.99360647162206
254	BRX10.6	OD6	17	0.0365431779431242	0.993485196292491
255	BRX10.6	OD7	17	0.0352157941628112	0.993026529286008
256	BRX10.6	OD8	17	0.030167327908565	0.995145587958244
257	BRX10.7	OD1	-1	0.031669963350896	0.993669017785178
258	BRX10.7	OD2	-1	0.0340102045563759	0.994157066348505
259	BRX10.7	OD3	-1	0.0303896871676159	0.990895014976561
260	BRX10.7	OD4	-1	0.0282007874606623	0.9806972040381
261	BRX10.7	OD5	-1	0.0286826136171977	0.981890219109578
262	BRX10.7	OD6	-1	0.0314782925451377	0.98437418213606
263	BRX10.7	OD7	-1	0.0359241223460153	0.992033312600031
264	BRX10.7	OD8	-1	0.0413847556212648	0.995432272163201
265	BRX10.7	OD1	4	0.0360209871965668	0.96159431382158
266	BRX10.7	OD2	4	0.0381281818397496	0.964949771314521
267	BRX10.7	OD3	4	0.03728262807661	0.97207596506306
268	BRX10.7	OD4	4	0.0366706693353426	0.987819851006505
269	BRX10.7	OD5	4	0.0346448312217194	0.980632531289989
270	BRX10.7	OD6	4	0.0403754783663276	0.991990213574235
271	BRX10.7	OD7	4	0.0467442402698936	0.993884740595366
272	BRX10.7	OD8	4	0.0514974744956878	0.978302360626513
273	BRX10.7	OD1	11	0.0506126205722776	0.99158003821601
274	BRX10.7	OD2	11	0.0497756571264512	0.990116340637876
275	BRX10.7	OD3	11	0.0454720548525827	0.951294676898932
276	BRX10.7	OD4	11	0.0529489134855549	0.930579668235044
277	BRX10.7	OD5	11	0.0480871795697309	0.941950508556842
278	BRX10.7	OD6	11	0.0514880478930735	0.952460276798139
279	BRX10.7	OD7	11	0.0483315833149036	0.992651673582041
280	BRX10.7	OD8	11	0.0499809194334635	0.995392218666046
281	BRX10.7	OD1	17	0.0467891844156923	0.965270276973387
282	BRX10.7	OD2	17	0.037672323151272	0.994361965547492
283	BRX10.7	OD3	17	0.0318062593140239	0.995445035700825
284	BRX10.7	OD4	17	0.0289575643043818	0.995252146598457
285	BRX10.7	OD5	17	0.0281283607189057	0.995715070618252
286	BRX10.7	OD6	17	0.0316281350010072	0.995760905018521
287	BRX10.7	OD7	17	0.0322365123829255	0.996396491232606
288	BRX10.7	OD8	17	0.0314144447316662	0.995173272322134
289	BRX10.8	OD1	-1	0.0508740552698072	0.977681119126113
290	BRX10.8	OD2	-1	0.04134734213494	0.985123461673327
291	BRX10.8	OD3	-1	0.0404875870541415	0.976063944425242
292	BRX10.8	OD4	-1	0.0430030922849696	0.978917388012715
293	BRX10.8	OD5	-1	0.0391985157513619	0.987869521616045
294	BRX10.8	OD6	-1	0.0381978610603675	0.984029302241954
295	BRX10.8	OD7	-1	0.0417549883152299	0.973035052709496
296	BRX10.8	OD8	-1	0.0458629626940658	0.989739258284877
297	BRX10.8	OD1	4	0.0423529578115875	0.91755963675579
298	BRX10.8	OD2	4	0.0460886321097075	0.91863218812915
299	BRX10.8	OD3	4	0.0453962664930535	0.925186420388567
300	BRX10.8	OD4	4	0.0425691479525927	0.926017676071678
301	BRX10.8	OD5	4	0.0430279884482094	0.937036489471698
302	BRX10.8	OD6	4	0.0408481204183151	0.926914604027246
303	BRX10.8	OD7	4	0.0421185624708595	0.921880936406991
304	BRX10.8	OD8	4	0.04333384994567	0.965327895110766
305	BRX10.8	OD1	11	0.0515524031887391	0.961870196259544
306	BRX10.8	OD2	11	0.0486582419723637	0.942526069438901
307	BRX10.8	OD3	11	0.0494178144087481	0.925679919829486
308	BRX10.8	OD4	11	0.0459891913317884	0.931566921803529
309	BRX10.8	OD5	11	0.0438738397243115	0.944351249605004
310	BRX10.8	OD6	11	0.0507547601863378	0.963651180489385
311	BRX10.8	OD7	11	0.0467185955691011	0.982902109102973
312	BRX10.8	OD8	11	0.0506784286455535	0.982761863678804
313	BRX10.8	OD1	17	0.0314606066632966	0.996686702950703
314	BRX10.8	OD2	17	0.0248302398605165	0.996700671432374
315	BRX10.8	OD3	17	0.0313813354263439	0.993625425735367
316	BRX10.8	OD4	17	0.0272331980999901	0.996315060264163
317	BRX10.8	OD5	17	0.0280481100122841	0.996448053109153
318	BRX10.8	OD6	17	0.025116131890284	0.99504067005114
319	BRX10.8	OD7	17	0.0239799058988429	0.996086097834208
320	BRX10.8	OD8	17	0.0267702297591446	0.99152805056137
321	BRX10.9	OD1	-1	0.0466997164187827	0.959427653804555
322	BRX10.9	OD2	-1	0.0464026597299212	0.986280878947494
323	BRX10.9	OD3	-1	0.04886172380484	0.980946940544435
324	BRX10.9	OD4	-1	0.0445541098573181	0.987293337587597
325	BRX10.9	OD5	-1	0.0440798532558734	0.98911889415931
326	BRX10.9	OD6	-1	0.0463381676629491	0.985602064941302
327	BRX10.9	OD7	-1	0.0441070270206256	0.981980290263732
328	BRX10.9	OD8	-1	0.0427977775647158	0.97786530815516
329	BRX10.9	OD1	4	0.0636175640849732	0.959186042511609
330	BRX10.9	OD2	4	0.063328905740056	0.958498091597482
331	BRX10.9	OD3	4	0.0609210030735102	0.979629611011816
332	BRX10.9	OD4	4	0.0581600945682839	0.974211947709933
333	BRX10.9	OD5	4	0.0577382107437791	0.964636394142305
334	BRX10.9	OD6	4	0.0610469475743351	0.97936853222962
335	BRX10.9	OD7	4	0.0625316137964221	0.981345116917183
336	BRX10.9	OD8	4	0.0617700964126046	0.974323581802023
337	BRX10.9	OD1	11	0.0668550928015411	0.975349974235791
338	BRX10.9	OD2	11	0.070312718063151	0.971831285961988
339	BRX10.9	OD3	11	0.0714621582901526	0.974762797772283
340	BRX10.9	OD4	11	0.0671766224156282	0.97255029046421
341	BRX10.9	OD5	11	0.0660724774155382	0.960011777995278
342	BRX10.9	OD6	11	0.0671269365098403	0.958210452902596
343	BRX10.9	OD7	11	0.0678433251125833	0.966547633091868
344	BRX10.9	OD8	11	0.0620344583291436	0.977743680835265
345	BRX10.9	OD1	17	0.0291806831518243	0.99641729625546
346	BRX10.9	OD2	17	0.0391318609822382	0.991543953898657
347	BRX10.9	OD3	17	0.0424459128448976	0.989286805172271
348	BRX10.9	OD4	17	0.0397723581608772	0.995878074436679
349	BRX10.9	OD5	17	0.0465109161175247	0.987951586380896
350	BRX10.9	OD6	17	0.0385216046986682	0.991529981172032
351	BRX10.9	OD7	17	0.0511706843802132	0.983880886848407
352	BRX10.9	OD8	17	0.0494773041434833	0.983226899783129
353	BRX8.1	OD1	-1	0.0405705453572003	0.993550405183997
354	BRX8.1	OD2	-1	0.0410329756749613	0.991050980059038
355	BRX8.1	OD3	-1	0.0402613268961937	0.977557582855344
356	BRX8.1	OD4	-1	0.0359490365059413	0.994232811098761
357	BRX8.1	OD5	-1	0.0412113609694579	0.986555386040893
358	BRX8.1	OD6	-1	0.0398784394834826	0.989340201639624
359	BRX8.1	OD7	-1	0.0407297659750616	0.989749373845096
360	BRX8.1	OD8	-1	0.0341473119561646	0.99484518671891
361	BRX8.1	OD1	4	0.0526590680436905	0.97699528999452
362	BRX8.1	OD2	4	0.044519450543225	0.974518120509069
363	BRX8.1	OD3	4	0.0451621176184642	0.975086635426153
364	BRX8.1	OD4	4	0.0501824871890917	0.971110988076825
365	BRX8.1	OD5	4	0.040108552194951	0.977912687345579
366	BRX8.1	OD6	4	0.0409583133083224	0.981250630770245
367	BRX8.1	OD7	4	0.0432511701905518	0.983362042267788
368	BRX8.1	OD8	4	0.0381347360910826	0.990247286753837
369	BRX8.1	OD1	11	0.0529677045858567	0.97473318434913
370	BRX8.1	OD2	11	0.0501966633624671	0.98078002503824
371	BRX8.1	OD3	11	0.0526213776428159	0.972662346073003
372	BRX8.1	OD4	11	0.0515495454811446	0.971044992758386
373	BRX8.1	OD5	11	0.0487557412434218	0.97385932704942
374	BRX8.1	OD6	11	0.0469206583670035	0.977027258362192
375	BRX8.1	OD7	11	0.0450191739543926	0.977104641811556
376	BRX8.1	OD8	11	0.0476497876722099	0.981579563667291
377	BRX8.1	OD1	17	0.0256218950290018	0.995695610162163
378	BRX8.1	OD2	17	0.0229508774137434	0.988898688242616
379	BRX8.1	OD3	17	0.0225317140481902	0.997658151374914
380	BRX8.1	OD4	17	0.0239733555459524	0.986721577005777
381	BRX8.1	OD5	17	0.0231268535666612	0.989056942093552
382	BRX8.1	OD6	17	0.0229429989571722	0.994849717884968
383	BRX8.1	OD7	17	0.0236795329427068	0.992882454637041
384	BRX8.1	OD8	17	0.0256712475665847	0.990241834208419
385	BRX8.2	OD1	-1	0.0458604658995976	0.967221082110327
386	BRX8.2	OD2	-1	0.0412486174767547	0.990310315189386
387	BRX8.2	OD3	-1	0.0398690545741869	0.970969561796027
388	BRX8.2	OD4	-1	0.0389013666584322	0.979802828384233
389	BRX8.2	OD5	-1	0.0377644317265349	0.976053295360685
390	BRX8.2	OD6	-1	0.0382735675111904	0.981883032024701
391	BRX8.2	OD7	-1	0.0414582997029528	0.981361105114884
392	BRX8.2	OD8	-1	0.043799196600796	0.981065370584177
393	BRX8.2	OD1	4	0.0567710093115289	0.957118652478183
394	BRX8.2	OD2	4	0.0447315971795483	0.937751139478519
395	BRX8.2	OD3	4	0.0385642594816116	0.898017162550007
396	BRX8.2	OD4	4	0.0440422555301415	0.944806461306609
397	BRX8.2	OD5	4	0.0483299127827684	0.951010985163293
398	BRX8.2	OD6	4	0.0428948695480587	0.920618562563004
399	BRX8.2	OD7	4	0.0389949808031406	0.961979282383662
400	BRX8.2	OD8	4	0.0481490051676586	0.965360721717382
401	BRX8.2	OD1	11	0.0539987440417674	0.90608546151439
402	BRX8.2	OD2	11	0.0464019230243302	0.910865220967296
403	BRX8.2	OD3	11	0.0465251713556878	0.899200721256403
404	BRX8.2	OD4	11	0.0398830776867307	0.896325736205742
405	BRX8.2	OD5	11	0.0476221765872805	0.932146835451105
406	BRX8.2	OD6	11	0.0492066928921766	0.948854823759911
407	BRX8.2	OD7	11	0.0515840395655458	0.91534260963129
408	BRX8.2	OD8	11	0.055123383563247	0.957640180635348
409	BRX8.2	OD1	17	0.0571627889174169	0.853522281562786
410	BRX8.2	OD2	17	0.0230635886759563	0.907412773243691
411	BRX8.2	OD3	17	0.0247647922132047	0.922744379266871
412	BRX8.2	OD4	17	0.0210528068695406	0.902967620162693
413	BRX8.2	OD5	17	0.0214734446844956	0.948203342372486
414	BRX8.2	OD6	17	0.0221808727812636	0.953844083010959
415	BRX8.2	OD7	17	0.0215595686975343	0.952033178820209
416	BRX8.2	OD8	17	0.0246691540826027	0.994625564325459
417	BRX8.3	OD1	-1	0.036935312121434	0.985440197910033
418	BRX8.3	OD2	-1	0.0390318312256138	0.981620715777269
419	BRX8.3	OD3	-1	0.033370100307918	0.974536870252837
420	BRX8.3	OD4	-1	0.0343317833282693	0.984339910556309
421	BRX8.3	OD5	-1	0.031574816947445	0.990891495558649
422	BRX8.3	OD6	-1	0.030390360889376	0.98613532264158
423	BRX8.3	OD7	-1	0.0320283906900078	0.977723380664796
424	BRX8.3	OD8	-1	0.0393017690708444	0.985719669346792
425	BRX8.3	OD1	4	0.0514769747974867	0.959227728615027
426	BRX8.3	OD2	4	0.0357426052969012	0.96115737821467
427	BRX8.3	OD3	4	0.0429349527906299	0.951843097271185
428	BRX8.3	OD4	4	0.0420557694741655	0.963781730479357
429	BRX8.3	OD5	4	0.0411470998194564	0.976946909838076
430	BRX8.3	OD6	4	0.0384010138382759	0.963875577808454
431	BRX8.3	OD7	4	0.0362381171497073	0.948941207872277
432	BRX8.3	OD8	4	0.0397051915722772	0.970429121807622
433	BRX8.3	OD1	11	0.050969999114871	0.950792587140646
