PGF_00002975	PGF_00002975	pgfam	FIG032225: Transcriptional regulator, LysR family
PGF_00002980	PGF_00002980	pgfam	FIG032621: Hydrolase, alpha/beta hydrolase fold family
PGF_00002997	PGF_00002997	pgfam	FIG033680: Hypothetical protein
PGF_00002999	PGF_00002999	pgfam	FIG033889: YebC paralog in Betaproteobacteria
PGF_00003006	PGF_00003006	pgfam	FIG034389 (not subsystem-based): hypothetical protein
PGF_00003023	PGF_00003023	pgfam	FIG035246: DoxX family protein
PGF_00003107	PGF_00003107	pgfam	FIG045085: Hypothetical protein
PGF_00003264	PGF_00003264	pgfam	FIG067310: hypothetical protein
PGF_00003276	PGF_00003276	pgfam	FIG070318: hypothetical protein
PGF_00003390	PGF_00003390	pgfam	FIG073159: hypothetical protein
PGF_00003398	PGF_00003398	pgfam	FIG081498: hypothetical protein
PGF_00003439	PGF_00003439	pgfam	FIG106692: Outer membrane lipoprotein
PGF_00003448	PGF_00003448	pgfam	FIG110192: hypothetical protein
PGF_00003456	PGF_00003456	pgfam	FIG111991: hypothetical protein
PGF_00003477	PGF_00003477	pgfam	FIG123062: hypothetical protein
PGF_00003478	PGF_00003478	pgfam	FIG123464: Polysaccharide export protein
PGF_00003480	PGF_00003480	pgfam	ABC transporter, ATP-binding protein YnjD
PGF_00003504	PGF_00003504	pgfam	FIG137478: Hypothetical protein
PGF_00003516	PGF_00003516	pgfam	GTP cyclohydrolase 1 type 2 homolog YbgI
PGF_00003522	PGF_00003522	pgfam	FIG137776: Glycosyltransferase
PGF_00003526	PGF_00003526	pgfam	FIG137887: membrane protein related to purine degradation
PGF_00003528	PGF_00003528	pgfam	UPF0307 protein YjgA
PGF_00003530	PGF_00003530	pgfam	FIG138576: 3-oxoacyl-[ACP] synthase (EC 2.3.1.41)
PGF_00003531	PGF_00003531	pgfam	FIG138928: iron-regulated membrane protein
PGF_00003550	PGF_00003550	pgfam	FIG140336: TPR domain protein
PGF_00003559	PGF_00003559	pgfam	FIG140336: TPR domain protein
PGF_00003584	PGF_00003584	pgfam	FIG140336: TPR domain protein
PGF_00003719	PGF_00003719	pgfam	FIGfam010717
PGF_00003740	PGF_00003740	pgfam	FKBP-type peptidyl-prolyl cis-trans isomerase FklB (EC 5.2.1.8)
PGF_00003746	PGF_00003746	pgfam	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)
PGF_00003749	PGF_00003749	pgfam	FKBP-type peptidyl-prolyl cis-trans isomerase SlpA (EC 5.2.1.8)
PGF_00003750	PGF_00003750	pgfam	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)
PGF_00003752	PGF_00003752	pgfam	FKBP-type peptidyl-prolyl cis-trans isomerase FklB (EC 5.2.1.8)
PGF_00003791	PGF_00003791	pgfam	FMN-dependent NADH-azoreductase (EC 1.7.1.6)
PGF_00003888	PGF_00003888	pgfam	FOG: EAL domain protein
PGF_00003910	PGF_00003910	pgfam	GGDEF domain protein
